OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
1280,2854,RNT 11-2854,771,7954.01291582696,3499421.15332458
1281,3162,RNT 11-3162,209,24254.1618237577,12998502.9541349
1282,3222,RNT 11-3222,628,15021.9908468357,8771129.95412088
1283,3223,RNT 11-3223,263,5789.29123837842,1775290.78157816
1284,3224,RNT 11-3224,474,8535.29429369806,2805085.1844104
1285,3287,RNT 11-3287,817,18005.8909852823,8477219.72525744
1286,3359,RNT 11-3359,575,9455.84313700783,4977669.75885369
1287,3404,RNT 11-3404,638,9167.43502494404,5142907.78372595
1288,3555,RNT 11-3555,480,12782.246159556,4961498.53647086
1289,3563,RNT 11-3563,777,10538.1143055652,5847763.60999492
1290,3564,RNT 11-3564,729,17487.7967127878,8230472.30955858
1291,3575,RNT 11-3575,647,13330.8482113324,9189619.55559003
1292,3588,RNT 11-3588,591,8785.40727492806,3410167.02454111
1293,3590,RNT 11-3590,690,11957.0248030465,6698615.08567863
1294,3604,RNT 11-3604,649,10950.3825888613,4018845.74316818
1295,3609,RNT 11-3609,582,15760.0348731022,7372275.17476523
1296,3619,RNT 11-3619,531,8962.70389457277,3589719.59878477
1297,3643,RNT 11-3643,409,15850.4449697236,6144669.47585834
1298,3660,RNT 11-3660,551,9536.76043298748,3877591.03126943
1299,3683,RNT 11-3683,333,7897.89992212388,3474846.89292547
1300,3751,RNT 11-3751,456,9391.10418698762,3219131.03714019
1301,3756,RNT 11-3756,495,8559.38942142033,3507066.66629729
1302,3777,RNT 11-3777,424,5431.42262488336,1689451.76927093
1303,3779,RNT 11-3779,425,6495.3484124742,2470575.88434282
1304,3780,RNT 11-3780,510,9232.68112692643,4357787.52647189
1305,3784,RNT 11-3784,355,17501.3590168494,7901570.31193374
1306,0455,RNT 33-0455,792,16099.7586454497,13576236.2881152
1307,1204,RNT 33-1204,858,14429.9056458931,7136247.58330398
1308,2472,RNT 33-2472,798,16629.9483754495,10297639.0210036
1309,3535,RNT 33-3535,769,10586.3430632702,5180614.7474952
1310,0965,RNT 37-0965,836,21901.8095336373,14777095.9940802
1311,0967,RNT 37-0967,621,12968.7795850591,5449954.58194006
1312,0969,RNT 37-0969,0,1083.63671319278,73344.6678858689
1313,0991,RNT 37-0991,684,19182.906509427,16255294.6273863
1314,0999,RNT 37-0999,745,14216.5247909138,8195413.32237864
1315,1000,RNT 37-1000,613,14665.7797262636,10848390.4824531
1316,3154,RNT 37-3154,843,19065.8494511677,7979629.41444746
1317,3650,RNT 37-3650,518,10119.9023535118,5286246.95960766
1318,0989,RNT 41-0989,825,15984.3799155241,7684375.25907918
1319,0993,RNT 41-0993,754,11683.9730607242,6320481.96464463
1320,0994,RNT 41-0994,515,8423.25987310427,4293823.76914133
1321,0995,RNT 41-0995,773,26803.9933148687,15734508.6533446
1322,1010,RNT 41-1010,469,9694.01974648254,3545965.09430589
1323,1017,RNT 41-1017,596,9630.09612566534,4339128.93177257
1324,1018,RNT 41-1018,748,16932.295583293,9020981.03019898
1325,3438,RNT 41-3438,425,7024.34519478191,2902866.6776128
1326,2651,ROSE,462,20761.2765242612,15573959.1588509
1327,1035,ROUNDTABLE,677,11409.8149862284,5709884.32595832
1328,1036,ROWAN,386,7061.76490898113,2493277.49910155
1329,3624,ROYAL,386,19532.335902383,7373043.72293972
1330,2740,RUDDELL,419,8454.38610244716,4213926.63270634
1331,3444,RUSS,37,10588.562274838,1961188.92903951
1332,3327,SALAL,358,18104.663804309,12861369.9051081
1333,3210,SALISH,739,27950.4803472377,26241177.4493215
1334,2718,SAM 05-2718,611,12344.3915736716,3523532.77943873
1335,2941,SAM 05-2941,507,10290.8418496143,3204277.02138626
1336,2971,SAM 05-2971,310,9550.77781492633,5009639.97486733
1337,2972,SAM 05-2972,811,19734.1136083853,7307219.40281041
1338,2975,SAM 05-2975,493,9640.78150440048,4625889.94491789
1339,3202,SAM 05-3202,281,7544.5208412647,3145149.78670013
1340,3203,SAM 05-3203,657,7692.76720124725,3733358.0165609
1341,3204,SAM 05-3204,796,13706.750073017,6533660.76916261
1342,3306,SAM 05-3306,529,8862.73593397301,2787108.7169538
1343,3307,SAM 05-3307,257,5269.74657596295,1430473.79926031
1344,3308,SAM 05-3308,298,11627.1957679728,4344021.02574492
1345,3326,SAM 05-3326,466,14907.2008938277,6432102.7734214
1346,3515,SAM 05-3515,241,10444.3783606024,3354010.56612642
1347,0100,SAM 41-0100,722,25520.502476316,19453257.9200654
1348,0307,SAM 41-0307,612,21640.9980356074,23778364.3484374
1349,0816,SAM 41-0816,746,23119.8225622088,24760644.0326772
1350,0909,SAM 41-0909,864,18391.5138043089,15139895.6056754
1351,1130,SAM 41-1130,640,11060.0190508087,5828986.50400716
1352,2469,SAM 41-2469,567,12616.1878927343,7602673.06937941
1353,2491,SAM 41-2491,759,17938.2198790984,19392166.4358773
1354,2690,SAM 41-2690,580,19126.9248491678,15023926.6231243
1355,2813,SAM 41-2813,573,11725.2751773581,6731085.90804541
1356,2937,SAM 41-2937,483,24483.472436624,12022719.7886411
1357,2940,SAM 41-2940,276,15730.9440389745,5670954.28990635
1358,2942,SAM 41-2942,754,12233.7591167589,9510183.53027666
1359,2973,SAM 41-2973,751,24994.5902934082,15714923.4482333
1360,3214,SAM 41-3214,431,12673.7843121514,8770525.23463701
1361,3215,SAM 41-3215,880,18321.7569377233,15262698.0407122
1362,3384,SAM 41-3384,809,22672.8064648212,10610398.9615077
1363,3385,SAM 41-3385,668,10723.954794793,5376233.95324093
1364,3506,SAM 41-3506,560,18473.376056937,17360332.2668407
1365,3507,SAM 41-3507,852,15899.3754474885,8853375.36828495
1366,3508,SAM 41-3508,788,12985.0965277393,8462776.08714161
1367,3607,SAM 41-3607,524,14173.8335102327,4943991.13128746
1368,3638,SAM 41-3638,878,25312.3603368285,16202408.0974517
1369,3654,SAM 41-3654,488,17880.4816525049,9774069.11226446
1370,0536,SAM 45-0536,824,43644.890978554,11098266.6024231
1371,2450,SAM 45-2450,530,19161.3888504061,12648073.3711795
1372,2564,SAM 45-2564,708,12272.8518419984,6737741.63196428
1373,2575,SAM 45-2575,757,15364.4635711967,6094754.46686225
1374,2620,SAM 45-2620,515,15125.197801144,8360679.87530389
1375,2684,SAM 45-2684,305,9298.77570595773,3771644.70404134
1376,2693,SAM 45-2693,770,18304.7976510369,16717445.7540556
1377,2726,SAM 45-2726,452,12810.9233827677,6460188.77114178
1378,2791,SAM 45-2791,647,12558.3098081408,7062666.93866287
1379,2961,SAM 45-2961,498,10959.4317372238,4678789.07681879
1380,2963,SAM 45-2963,838,17387.1414599561,15441449.6747957
1381,2965,SAM 45-2965,666,18050.7180638246,10705349.9773331
1382,3213,SAM 45-3213,600,9386.48337911657,5282760.15577443
1383,3216,SAM 45-3216,779,18182.107742338,11664314.9017601
1384,3217,SAM 45-3217,589,11873.0501113075,5501674.42813133
1385,3293,SAM 45-3293,767,17472.2157616181,11896876.5578916
1386,3298,SAM 45-3298,594,14404.7220768098,7519474.88499345
1387,3386,SAM 45-3386,779,22495.7948726443,13700220.8366458
1388,3387,SAM 45-3387,414,17791.1413070393,6814947.78477675
1389,3388,SAM 45-3388,681,16689.6381767127,9683927.96019507
1390,3389,SAM 45-3389,801,21444.1617072048,14580459.3793762
1391,3412,SAM 45-3412,753,10102.4507243525,4967722.61720911
1392,3454,SAM 45-3454,248,13670.5473758657,7218687.83921074
1393,3505,SAM 45-3505,767,22290.8584943467,23984745.6577533
1394,3722,SAM 45-3722,45,6324.53560268829,1992539.86935136
1395,2741,SAWYER,618,20045.4641046111,24730150.1414593
1396,1256,SEA 11-1256,758,17540.8727303596,11702554.9615974
1397,1550,SEA 11-1550,668,11489.5844002839,5920009.94865934
1398,1552,SEA 11-1552,433,15406.6205027278,10044130.2375699
1399,1597,SEA 11-1597,426,7426.67300240088,2454430.53550511
1400,1600,SEA 11-1600,635,9298.96578210403,3830732.17109713
1401,1602,SEA 11-1602,774,36572.8208744568,45377359.1869028
1402,1624,SEA 11-1624,653,9185.15953993964,4353507.02005514
1403,1639,SEA 11-1639,634,12968.4055358078,4677627.90378362
1404,1641,SEA 11-1641,582,13853.1837078198,6476263.09269845
1405,1928,SEA 11-1928,342,44604.0903835385,87174720.42755
1406,1941,SEA 11-1941,525,6058.96613932058,1592888.02114568
1407,1942,SEA 11-1942,641,15590.5695700121,5227938.17732773
1408,1945,SEA 11-1945,797,17953.6500588203,8626492.27190408
1409,1947,SEA 11-1947,684,17986.396008254,9778702.78319424
1410,3491,SEA 11-3491,0,12216.6647296795,4267077.65472782
1411,3580,SEA 11-3580,492,7533.35762522533,2317195.1063586
1412,3810,SEA 11-3810,473,7674.93695106508,2186627.52572903
1413,2200,SEA 32-2200,400,12222.0257433546,7347994.86948828
1414,2201,SEA 32-2201,476,10054.8524113875,4016089.67548072
1415,2202,SEA 32-2202,500,5295.82583988956,1752730.9963027
1416,2203,SEA 32-2203,798,12132.0449733867,6283700.23416876
1417,2204,SEA 32-2204,357,7231.723021621,3033335.4013682
1418,2206,SEA 32-2206,449,5955.91855538571,2189580.11693609
1419,2208,SEA 32-2208,355,7312.35455162696,2194014.67107482
1420,2209,SEA 32-2209,623,16411.4746201372,7912233.89454586
1421,2210,SEA 32-2210,610,6634.1334715023,2643323.85307934
1422,2211,SEA 32-2211,644,7863.82119446863,3436392.49036442
1423,2215,SEA 32-2215,853,18016.4101915373,10592930.0736255
1424,2216,SEA 32-2216,369,6583.41342128351,1962140.50777153
1425,2217,SEA 32-2217,809,6428.73122778713,2506314.5895772
1426,2218,SEA 32-2218,747,7127.92965216659,3169589.54127064
1427,2224,SEA 32-2224,588,6621.85889486488,2417282.24922588
1428,2537,SEA 32-2537,481,7957.98067065522,2017863.51524838
1429,2539,SEA 32-2539,827,7897.68360482595,3475721.43157904
1430,3568,SEA 32-3568,512,5447.60690282858,1402081.48715769
1431,3656,SEA 32-3656,501,5861.91486691171,1921666.39438463
